メーカー,箱種別,長辺（mm）,短辺（mm）,高さ（mm）,最大入数（袋）
TSF,冷凍箱（ココグルメ）チキン用,336,336,235,100
TSF,冷凍箱（ココグルメ）汎用,436,334,209,100
TSF,タカ商 レトルト100g（チキン・ポーク）,420,305,164,100
TSF,タカ商 レトルト50g（チキン・ポーク）,400,305,180,200
TSF,ミャオ（ピュア）レトルト50g,410,310,180,200
SIL,プチ,503,363,321,100
SIL,冷凍箱,336,336,235,100
SIL,冷凍箱2（ココ_チキン150g / ミャオ）,346,195,256,50pc/150pc
SIL,冷凍箱（ミャオピュア）60g,340,195,245,100
SIL,レトルト100g,410,260,190,200
OKs,ミャオ 冷凍,380,300,300,200
AYG,ココレトルト50g（フィッシュ・ジビエ・ビーフ）,430,255,240,200
AYG,ココレトルト100g（フィッシュ・ジビエ・ビーフ）,405,255,200,100
AYG,ミャオレトルト35g,405,255,200,200
IKD,冷凍箱（ポーク・ケア）,336,336,235,100
EBS,通販用にゃっち納品箱(1本 ～25/3/31入荷まで),470,270,220,"1,000"
EBS,卸用にゃっち納品箱(～25/3/7入荷まで),285,230,135,48
EBS,卸用にゃっち納品箱(25/5/16～入荷から),285,230,160,48
EBS,通販用にゃっち納品箱(15本 25/5/16入荷～),280,240,216,16
EBS,通販用にゃっち納品箱(7本 25/5/16入荷～),285,240,180,24
EBS,モール用にゃっち納品箱(4本 25/5/16入荷～),285,260,160,60
HTM,ドライ用100g・850g共通納品箱,417,340,280,100pc/12pc
OCT,こもりね200g,500,287,274,48
OCT,こもりね1kg,500,287,274,6
OCT,こもりね3kg,400,327,300,4
OCT,ココモグ外装箱,358,215,145,96(8BL)
EBS,ココピューレ通販（スティック）,470,270,220,1000
EBS,ココピューレ卸,285,230,160,48
